Unique_ contact_lead_title,Unique_ title_seniority,Unique_ title_function
"Project Manager, Operations",,
Administrative Specialist II,,
"Manufacturing Leader & Manager, Iso Quality",,
Intergrated Systems Service Tech,,
"Manager, Operations Benelux",,
Owner and President,,
"Senior Project Manager, Portfolio Global Capital Project Management",,
IT Production Project Leader,,
Thanks for sharing over the information,,
Test & Assembly Engineer,,
"Senior Staff, Regulatory Affairs, International Specialist",,
Corporate Marketing Data Analyst,,
"Associate Manager, Regulatory Affairs",,
Water Superintendent,,
"Principal Consultant, Professional Services",,
Senior Validation Specialist,,
Logistics Coordinator,,
Electronic Technician,,
"Manager, Quality Assurance Compliance",,
"Sr. Manager, Quality Control",,
"Director, Biologics",,
"Physics Metrology, Disciplinary Engineering & Science Senior Engineer",,
Instructional Designer,,
VP Quality and Regulatory,,
Customer Service Administrator,,
Deputy manager in QA,,
Chief Operating Officer and Partner,,
Quality Systems and Compliance Specialist,,
Associate Director PET Quality Assurance,,
Consultant to CEO,,
Senior Applications Engineer,,
"Senior Manager Quality, Safety & Environment",,
"Director, Lab Automation and Services Operations",,
Director of Information Solutions,,
Document Management Specialist,,
Senior Quality Assurance Engineer - Design Controls and Transfer,,
ä¿‚å“¡,,
"Manager, Quality Assurance & QC",,
Research Services Principal Professional,,
Manufacturing Compliance & Mes Lead,,
Quality Systems application specialist,,
QA Specialist II,,
Consultant for Kinovate,,
Vice President of Business Development & Head of North America,,
Senior Manager - Manufacturing IT Operations,,
"Director, QA Validation and DI",,
"Senior Manager, Operations & Business Development",,
GMP/CSV Coordinator,,
SME Micro + Quality Specialist,,
Surgical Services Coordinator,,
BD Manager,,
"Director, LS Business Development",,
Global IT at,,
Sennior Supplier Quality Engineer,,
Vendor Operations Manager,,
Auditor QA,,
Research Physical Scientist,,
Senior Research Specialist,,
Tech,,
Sr. Manager QA,,
"Regulatory Affairs, Assistant Manager",,
Cell Therapies Service Operations Manager,,
Digital Workplace Partner,,
Strategic Alliances,,
"Manager, Pre-Analytical Processing",,
Business Development Associate,,
Kam,,
"Senior Supplier Quality Manager, Supplier Quality Management",,
Regulatory Compliance Trainer,,
"IT Systems Engineer, Core Applications",,
Realtor,,
Serialization and Product Tracking,,
Senior Software Integration Engineer,,
Head of Search Engine Optimization,,
"Associate Director, CSV",,
eQMS Manager,,
"Tsukuba R&D Center, Assurance Office, Head of Office",,
Industrial Engineering Manager at AIXTRON LIMITED,,
"Deputy General Manager, Quality Assurance",,
ä¸€èˆ¬,,
Director-Strategic Partnerships,,
"Associate Director, Business Development",,
Director Business Developer,,
Director Strategic Alliances,,
Quality Assurance Senior Manager,,
Senior Manager QA Process Management Lead,,
"Director, Digital Excellence and CDO",,
"Senior Manager, Operations",,
Osoba Wykwalifikowana,,
Chief Legal Officer/Chief Administrative Officer,,
Site Quality Manager,,
Head of Research And Development and Product Management,,
"Senior Program/Project Leader-Global Dev Ops, Portfolio Initiatives, Innovation and Process Improvement",,
project officer,,
Senior Andrologist,,
"Global Project Manager, Project Management Office Quality Assurance",,
Quality Manager Compliance,,
Verification and Validation Manager,,
Student (MS Regulatory Affairs),,
"Manager, Metrology Department",,
Sr. Quality Analyst,,
DPVI Team Lead,,
Planner,,
Senior MSAT Associate,,
Engineering and Facility Lead,,
Lead MFG Engineer,,
Quality and Field Service,,
Associate Director Upstream,,
Costing and Purchasing Manager,,
Senior Quality Control,,
QA/QC Senior Lab Analyst,,
Senior Metrologist,,
"Specialist, Quality Control",,
"Associate Director, GxP Computerized Systems Quality Assurance",,
Senior Director QA,,
"Manager, Quality Governance",,
Quality and Purchasing Manager,,
Document Control,,
Director of Business Development,,
Controlled Print Group-Regulatory and Quality Document Control,,
Operational Procurement Manager,,
Regulatory & Compliance Coordinator,,
Quality Control Supervisor,,
Lab Associate Operations,,
ä¿‚é•·,,
Cleanroom & Lab Supervisor,,
QA Manager II,,
Head of Clinical Supply Manufacturing Parenterals,,
Head of Research and Development,,
Quality/EHS Manager,,
Global of Pharma Quality Head,,
QA Manager GMP,,
"Director, QA Operations",,
Production Documentation Editor,,
Senior Quality and Validation Consultant,,
Senior Manager Global Development Training,,
Quality Assurance Specialist III,,
"Senior Manager, Quality Engineering",,
VP Global Quality Assurance,,
Laboratory Scientist,,
Senior Director Global Information Technology and Security,,
Director Information Technology CyberSecurity,,
"Director, Information Technology and Data Sciences",,
Manager Information Technology Corporate Applications,,
Director CMC Quality Assurance,,
Associate Director IT,,
Head of Commercial IT and Site Infrastructure Lead,,
Associate Director Project Management International Regulatory Affairs,,
Site Head of Information Technology-Infrastructure and Operations,,
Director Information Technology Services,,
Associate Director Regulatory Affairs CMC,,
Senior Manager External Manufacturing Quality Assurance,,
Senior Director Information Technology and Operations,,
IT Service Management ITSM Manager and Cybersecurity Unit Lead,,
Health and Safety,,
Medical Specialist,,
ãªã—,,
etstset,,
Lims System Administrator,,
"Director, Process Development",,
"Director, RA/QA - North America",,
Assoc Engineer,,
Dir of Operations,,
"Senior Director, Process Development & Manufacturing Sciences",,
Director of Manufacturing IT and Digital technology,,
Quality Assurance Supervisor-Compliance,,
Manager Sales/ Key Account Manager,,
Project Management: Quality Assurance & Nuclear Safety at Fusion for Energy Spain,,
Quality Compliance Auditor,,
Maintenance Lead,,
Clark,,
Global Compliance Lead Specialist,,
Logistics Analyst,,
Regulatory Compliance Manager,,
Professor of Supply Chain Management,,
Senior Solutions Consultant,,
Sr. Director of Information Technology,,
Propulsion Engineer,,
Quality Auditor II,,
Quality Assurance Regulatory Affairs specialist,,
Industry Analyst,,
Co-Founder and VP of Business Development,,
Chief Officer Marketing Quality Assurance Manager,,
Senior Lab Equipment Tech,,
"Manager, Analytical Development",,
Vice President of Clinical Development,,
HSEQ Manager,,
"Director, Corporate Food Safety and Quality",,
"Associate Director, Qlm Equipment & Facilities Validation",,
Mortgage Loan Officer and Owner,,
"Manager, Informatics",,
Clinical Compliance Senior Manager,,
Training in  Project Excellence,,
Facilities and Planning,,
"Vice President, Services",,
Automation Project Specialist,,
"Sr. Vice President, Operations",,
Regulatory Compliance Specialist,,
"Director, Product Portfolio Strategy, Clinical Surveillance & Compliance",,
Financial Business Analyst,,
"Quality Manager, TRIO LABS",,
Associate Vice President Commercial Operations,,
R&D Project Specialist,,
Sr Director of Manufacturing,,
Key Supplier & Sms Programme Lead Operations Lead,,
IT Analysis,,
Lead,,
Biological Manufacturing Associate II,,
Assisstant Quality manager,,
QEHS Coordinator,,
"Manager, Business Operations",,
Senior Growth Executive,,
Assay Technician,,
"Senior Manager, Continuous Improvement",,
Staff Development Scientist,,
Head of strategic planning & analytics,,
Director of Systems and Process Innovation,,
Raw Materials Manager,,
VP Operations,,
"Manager Sales, Business Travel",,
Manager Information Technology,,
Director Product Quality Assurance,,
Associate Director Information Technology,,
Senior Global Manager Regulatory Affairs,,
Associate Director Global Regulatory Affairs,,
èšå¨ç§‘æŠ€è‚¡ä»½æœ‰é™å…¬å¸,,
Quality Systems Lead,,
Assoc. Director,,
Senior Regulatory Scientist,,
"Associate Director, Sales Analytics and Operations",,
"Associate Director, Functional Excellence",,
"Director, Operations, Medical Group",,
PM,,
Senior Regulatory Advisor,,
Digital CC Solutions Manager,,
Department Director,,
Product Security,,
Senior Procurement Specialist,,
"Director, Technical Operations",,
Director Pharmacy Operations,,
"Director, Club Services",,
Client Advisor,,
"Manager, Equipment and Prototying",,
LEAN Leader,,
"Security and Compliance Manager, Information Technology",,
Project Planner,,
"Vice President, Global Supply Chain and External Manufacturing",,
"VP of Operations, Clinical Services",,
Corporate Quality Management Compliance Specialist,,
"Supervisor, Glp Quality Assurance",,
Design Quality Engineer,,
Product Formulation Supervisor,,
"Supply Chain Vice President, Business Intelligence",,
"Consultant, MSAT",,
Group Leader,,
Global Quality Assurance Director,,
"Leader, Enterprise Quality",,
"Vice President, Technical Services",,
Manager Global Quality Engineering,,
Senior Manager Supplier Quality CAR-T EMEA,,
Assistant Quality Assurance Officer,,
Quality and Organizational Excellence Expert,,
DBS Senior Manager,,
Dgm - Quality,,
Business Delivery Lead,,
"Executive Director, Quality and Process Maturity",,
Business Project Manager,,
Senior IT Process Lead,,
"Intelligence and Advanced Services Director, Manufacturing",,
SME Computer System Validation and Data Integrity Senior QA Officer (SDLC),,
QA Support Officer,,
Center Quality Director,,
Application Product Development Engineer,,
Management Systems Coordinator,,
Organizational Administrative Assistant,,
Head of QA Department,,
CONFIDENTIAL INFORMATION,,
Senior Manager-Manufacturing-Gene Therapy,,
MuleSoft Practice Lead,,
Quality Systems Quality Engineer,,
Isv Support Specialist,,
Dyrektor Ds. Logistyki I Produkcji,,
Senior Business Service and Customer Lead and Gofore Designer,,
Senior Failure Analysis Engineer,,
GDP Personnel,,
Director Technical Operations,,
Senior Manager Compliance & Special Projects,,
Principal at Lisa Adams Savard Consulting,,
Supply Quality Manager,,
Vice President Global Operations,,
Executive Director Head of UK GMP Operations,,
Assistant COO,,
Director Operations Microoptics,,
Head of Business Operations in Clinical Development and Operations,,
Project Manager Operations,,
Head of Global Operational Procurement,,
Facilities Manager Operations,,
Head of Operations Process Analytics,,
QA Manager Operations,,
"Senior Director, Operations (Manufacturing, Technical Services, Packaging, Serialisation)",,
Analytics Manager Operations,,
Director Operations | CoE Vascular Systems,,
Head of Scientific Operations,,
Betriebsleiter Manager Operations Warehouse Burghausen,,
Director Logistics,,
Strategic Procurement Manager,,
"Senior Director, Procurement Operations",,
"Senior Manager, Lab Operations and Facilities",,
Global Commercial Manager Operations,,
Senior Vice President Operations and EHSS,,
Quality Control/Quality Management Specialist,,
Head of Eu Commercial Operations,,
Head of Procurement Indirect-Emea Department Manager,,
Emea Commercial Manager Operations,,
Senior Manager Operations,,
Planning and Continuous Improvement Manager at Tecan Limited,,
Manager/Supply Chain Management,,
UK Manager Operations,,
"Data Engineering Director, Genai and Digital Transformation",,
Operations and Global Planning Management Plantas Quimicas,,
Supply Chain Manager Im Operativen Einkauf-Bu Operations,,
Publishing and Director Operations,,
Supply Chain Projects and Process Manager,,
"Manager, Workplace & Operations",,
"Consulting Managing Director, Strategy",,
Department Head QA,,
Quality and Food Safety Manager,,
PI RtReport Engineer,,
Nakamura Kuniko,,
Manager - QARA,,
Senior Automation Engineer,,
"Manager, Veeva Vault Services",,
Senior Manager Plant Quality Assurance Amgen,,
Glasgow Tissue Research Facility Head,,
Field Service Technician,,
Vice President-Northeast Operations,,
"Senior Director, FP and A and Operations Finance",,
"Manager, Clinical Quality Systems",,
Associate Director Quality Compliance,,
"Vice President, Quality and Regulatory",,
Principal Outsourcing Manager,,
Head of Topline and Operations Controlling,,
Manager Operations (APU Lead),,
Regional Director Operations,,
Worldwide Isv Product Management Transformation Head,,
Quality and Inventory Controller,,
Sr Manufacturing Qa Specialist,,
"Global Head of Quality, Integrated Biologics",,
"Senior Director, Device Technology",,
Head of Quality / Qualified Person,,
Global Research and Development Project Management,,
"Director, Process Research & Development",,
IT Application Specialist,,
Director of Client Services,,
"Vice President, Quality and Regulatory Affairs",,
Staff Design Quality Engineer,,
"IT Engineer, IT Department",,
Minutes of Manager,,
Senior Proteomics Scientist,,
Manager Global Quality Systems,,
MES / Automation Architect,,
Facilities EH and S Coordinator,,
Quality Validation Specialist,,
"Manager, Quality Assurance Operations",,
Head of Quality Assurance Department,,
"Manager, Technology Office",,
VP Sales & Operations,,
Head of Studio,,
Quality Management Head of QA,,
"Operations, Inbound, Inventory, Environmental Health and Safety and Facilities AM",,
2 Quality Engineer,,
Human Resources Information System Specialist,,
"Supply Chain Management, Warehouse Operations, Logistics Planning",,
Senior Seismic Processing and Imaging Geophysicist,,
Purchasing Director,,
Team Leader Quality Management,,
"Corporate Director, Sustainability Reporting",,
Supervising Gulf Coast Project Engineer,,
"Manager, Learning and Development",,
"Project Manager, D365 Business Modular",,
Associate Partner,,
"Manager, Site Operations",,
GMP Head,,
National Training Manager,,
"Director, LEAN Operations",,
MES Engineer II,,
"Vice President, Finance and Information Technology",,
"Senior Analyst, Indirect Procurement",,
Assistant Teaching Professor,,
Operations Nuclear Medicine Head,,
PE Team Lead,,
Marketing and Strategy,,
Information Principal and Biopharm Technology Coordinator,,
"Safety, Security, Compliance Assistant",,
"Manager, Injection Quality Assurance",,
Acting Quality Manager,,
Quality Manager Responsable de Calidad,,
Senior Product Specialist,,
Quality Associate II,,
Clinical Research Manager,,
"Project Manager, Digital Transformation and Information Technology",,
Clinical Haematologist,,
Head of Technical Operations,,
Global Head Business Operations,,
Change Control Specialist,,
Head of Operations and Monitoring,,
"Global Senior Director, Quality Assurance and Compliance",,
"Director Operations, Quality Assurance",,
Shipping Department,,
Diretor de Desenvolvimento de Software,,
"Director, Enterprise Technology",,
Senior Laborant,,
Logistics Executive,,
RSO Proctor,,
Global Regulatory and Compliance Specialist,,
"Senior Manager, Lab Operations & Facilities",,
System Developer,,
"Team Lead, Operations",,
"Supervisor, Application and Network Administrator",,
Technical Architect,,
Hope the information is helpful,,
QA-Systems Head,,
"Director, Business Operations",,
Group Chief Embryologist,,
Research Analyst,,
"Head of Operations, Site Leader",,
Senior Cybersecurity Risk Analyst,,
Specialist Â· Quality Assurance,,
"Vice President, Technology Operations",,
Standards and Conformance Testing Programs Manager,,
Sanitation Manager,,
Security Manager,,
"Head, GCP Process",,
Quality Control Clerk / SQF Practitioner,,
Head of IT Operations Centre,,
Principal Architect,,
Service Specialist,,
"Director, Information Technology at Infinite Legacy",,
Head of Quality and QP,,
Portfolio Lead,,
"Senior Specialist-Quality Operations, Microbiology",,
"Manager, Operations Integration",,
"Manager, Manufacturing Engineering",,
Sr. Manager Sterility Assurance (EMEA PR CANADA),,
"Indirect, SCS ManagerN. A",,
Virtual Services Assistant,,
Head of ICT,,
QA & RA Consultant,,
"Research Development, Quality, Safety and Sustainability DevOps Director, Digital",,
"Senior Director, Clinical and Business Operations",,
Continuous Improvement Associate and Manager,,
Quality Engineer and Internal Auditor,,
Assistant Vice President - Systems and Improvements,,
Mouse,,
QA-Systems Senior.Engineer,,
"Global Manager, Quality and Manufacturing Strategy",,
"Manager, Client Engagement",,
Co-Owner and Manufacturing Solutions Specialist,,
Summer Analyst,,
Manager of IT Solutions,,
Quality and Operations Specialist,,
Netsuite Principal and Consultant,,
Mergers & Acquisitions Associate,,
"Manager, Logistics",,
Enterprise Business Solutions For Sia Group Lead,,
"Lab Manager, Lab Operations",,
Quality Head R and D EU,,
Quality and Regulatory Manager,,
Procurement Officer,,
Business Analysist,,
Head of Global Operations and Commercial Quality,,
"Director, Medical Response",,
Biotechnologist,,
Federal Sales and Acquisitions,,
"Manager, Health and Wellness (Clinical Pharmacy Services)",,
Components and Systems Manager Sales,,
Eqms Administrator,,
Document Control and Training Assistant,,
"Client Support Analyst III, Academic Client Support",,
IT QA Consultant â€“ Infrastructure and Global Data Centers Services (BTS),,
Device Development and IP Head,,
Senior BI Consultant,,
Chief Digital Officer,,
Quality Management Software IT,,
Senior Estimator,,
Chief Procurement Officer,,
Senior Global QMS Manager,,
Gmp Compliance Specialist,,
QA/RA Consultant,,
"Research, College of Pharmacy Associate Dean",,
QM and RA Manager,,
Senior Embedded Software Engineer II,,
"Director, Sales Marketing",,
å¤è§’ æ˜Œå½¦,,
Legal Operations,,
"Director, Qualify Control",,
Procurement Engineer - Team Middle-East,,
"Manager, Business Architecture",,
Document Control Coordinator at Tecomet,,
Unit Environmental Monitoring Lead,,
"Director, Quality and Technical Services",,
"Senior Director, Procurement",,
TSM&O Resource Manager,,
Process Engineering Specialist,,
Customer Quality Engineer,,
"Director, Site Quality-AA and Management Representative",,
Tooling Engineer â€“ Principal Engineer,,
Procurement & manufacturing planning,,
"Senior Manager, Data Science",,
Data Science and Ai Lead,,
Assistant Quality Manager,,
"Manager, Meded and Training Internal B2B Healthcare Professionals",,
Principal Program Director,,
Ir Analyst,,
Environmental Health and Safety Quality Specialist,,
CMC Operator,,
"Director, Clinical Services",,
ä¸€èˆ¬ç¤¾å“¡,,
Assistant Section Chief,,
Quality System Supervisor,,
"Director, Operations & Engineering",,
Junior Data Scientist,,
Senior Quality and Food Safety Specialist NestlÃ© Nutrition,,
QA Manager Ops,,
Product Operations Planning Senior Director,,
Director Global Quality Assurance Wacker,,
"Manager, Information and Improvement",,
"Director, Strategic Procurement",,
Operations Excellence Director,,
Associate Director Commercial Operations,,
Section Manager-Clinical Manufacturing,,
"Global Vice President, Medical Affairs and Market Access",,
Regulatory Affairs and Registration Manager Medical Devices and IVD,,
Section Manager Service Logistics,,
Purchasing Manager Operations,,
Strategy Insights and Planning Consultant,,
Operations Amd Office Coordinater,,
Head of Customer and Commercial Operations,,
Infrastructure Manager Operations EMEA,,
Head of External Warehouse Operations,,
"Senior Manager, Customer Service Operations",,
Head of Clinical Operations Process and Capabilities,,
Manufacturing Shift Manager,,
Regulatory Operations Process and Director Training,,
QualitÃ¤tsmanagementbeauftragter Nach ISO 13485,,
"Process Control Senior Director, Quality",,
Senior Pharma Consultant,,
Manager Procurement,,
"Director, Strategy and Operations",,
Head Global Regulatory Operations and Compliance,,
Director Manufacturing and Supply Chain Acetyls,,
"Project Manager Operations (Pmo, Change and Operational Excellence Management)",,
Head Quality Assurance Eso (External Supply Organization),,
Director Operations Ethics and Compliance,,
Business Manager Operations-Engagement and Integration,,
Kwaliteitsfunctionaris,,
Principal Architect Patient Safety & Quality,,
Director Validation and Sterility Assurance,,
QA Document Administrator,,
"Senior Manager, Quality and Regulatory",,
"Manager, Data Analytics",,
æµé€šå“è³ªçµ±æ‹¬éƒ¨,,
Operations Compliance Lead,,
"Head of IT, Ol Engineering Integration Eu (APAC)",,
Specialty Automation & Electricity Lead,,
IT Business Advisory Partner,,
Automation & Digitalization Engineer,,
Manufacturing and Continuous Improvement Engineer,,
Amministratore Di Sistema,,
Assistant Program Manager,,
Graduate Manager Operations,,
Operations Development Manager,,
North America Manager Operations,,
Bulk Manager Operations,,
"Senior Director, Sales Operations and Analytics",,
"Project Manager, Development",,
"Investment Banking Vice President, Technology",,
Operations Support Manager,,
"Senior Director, Commercial Operations-Pathology Lab",,
Beet Manager Operations,,
Head of Operations-Scotland,,
Head of Sales and Commercial Operations,,
"Director, Quality Control Chemistry, Microbiology and Analytical Technologies",,
"Manager, Regulatory Affairs and Customer Technical Services",,
Compliance & Governance Junior Specialist,,
CEO and Co-Founder,,
Senior Test and Test Lead Architect,,
Quality Assurance & Compliance Manager,,
"Principal Engineer and CTO, Venture",,
IT Projects Manager,,
"Director, Solution Delivery",,
CMMS Coordinator,,
Quality Assurance Auditor,,
"Manager, Quality, Safety and CI",,
"Director, Technology and Engineering",,
Principal Consultant Digital Transformation - Manufacturing and Quality,,
"Manager, Data & Analytics",,
"Manager, State Operations Rigid Plastics",,
"Manager, Food Safety and Quality Assurance Geo Expansion Markets",,
Ingeniero de ValidaciÃ³n de Sistemas Computarizados,,
Vice President-Technical Director,,
Senior Manufacturing Associate II,,
Regional Director,,
è¦æ ¼æ‹…å½“ãƒžãƒãƒ¼ã‚¸ãƒ£ãƒ¼,,
"Senior Manager, Medical and Product Engineer",,
Training Instructional Designer,,
IT Opereations,,
Representative Business Development,,
Food Preparation Worker,,
Vice President Information Services / CIO at Synthon BV,,
Infection Prevention and Control Nurse,,
Pharma and Lifescience Business Unit Director,,
Director Engineering and Maintenance,,
Head of HSEQ,,
Office and Executive Support Coordinator,,
Sourcing Specialist,,
Senior QA Specialist,,
"Supervisor, Compliance",,
Site Procurement Manager,,
Founder and Technical Advisor,,
"Global Senior Manager, Operations Digital Excellence",,
Senior Process Engineer II,,
Medical Products Specialist,,
"Operations, Regulatory Quality Engineer",,
Quality System Executive,,
"Supervisor, Quality Control PT Mitsubishi Tanabe Pharma (Indonesia)",,
Head of Supply Chain Management,,
General Manager (Associate Director),,
Quality System & Regulatory Specialist,,
Business Process Mapping and Automation Intern,,
Technicien-Ne de Maintenance BiomÃ©dicale,,
Senior Product Engineer,,
Director Corporate Strategy and Digital Transformation,,
Gmp Compliance Lead,,
"Accounts, Purchasing Operations Specialist",,
Site Head,,
Cell Therapist,,
Quality Professional,,
"Manager, Growth Marketing",,
"Project Manager, Engineering Manufacturing (Biotech and Pharma) Engineer",,
Regulatory Affairs and Quality Compliance Specialist,,
Sales Operations Management,,
Senior Director-Lab Automation Engineer,,
"Manager, Global Quality Engineering",,
QHSE Assistant,,
Field Sales and Service Manager,,
"Manager, Operations and ERP Innovation",,
Head of Customer Operations,,
Head of Regulatory Operations,,
"Manager, Corporate Quality Assurance Continuous Improvement",,
Technician I-Laboratory,,
Senior Vice President Commercial Operations,,
Senior Quality Assurance Operations Specialist,,
Mechanical Manufacturing Engineer,,
Verification Validation Engineer,,
Casual On Call Daycare Assistant,,
Email Specialist,,
"Global Head, Accounts and Strategy Life Sciences",,
Customer Service Representative Sales,,
Senior EHSS Specialist,,
Quality & Compliance Manager,,
"Supervisor, Drug Product Manufacturing",,
"Senior Director, Global Pharma Quality Assurance",,
PD Scientist III,,
Application Support Ict Developer,,
"Associate Director, Quality Assurance Csv",,
Director of MSAT,,
Counsel and Specialist and En Innovation Principal,,
Translational Research and Cgmp Manufacturing Associate,,
Business Operations Specialist,,
Learning and Coordinator Development,,
Executive Assistant to Senior Vice President and General Counsel,,
Global Chief Operating Officer,,
Quality Manager Supplier,,
Senior Project Director,,
Director of IT Quality Management and Compliance,,
"Supervisor, Pharmacy Services Usp Compliance",,
"Future Modalities Quality Director, Quality Assurance",,
"Csp, Pharmaceutical Manufacturing Specialist",,
"Director, Compliance and Regulatory",,
Technical Specialist,,
Q Pulse Specialist,,
Design Manager,,
Information Security Analyst,,
Chairman & President,,
"Vice President, Franchise Development",,
"Manager, CMC & Quality Assurance",,
Laborer,,
Enterprise Architect,,
Sanitation Engineer,,
AI Transformation Consultant,,
R and I Senior Technician,,
"Global Manager, Gxp Senior Quality System",,
QA Assist,,
Post Market Surveillance Scientist,,
QA Specialist III,,
Lab Planner,,
Network Administrator,,
At Cgmpnow Chief Business Officer,,
Compliance Head,,
"Manager, Facility Maintenance",,
"Director, Global Quality",,
Managing Director07850547087,,
IT Portfolio Manager,,
Associate Director-IT Architecture,,
Head QM,,
Senior Manager GMP,,
QMS Continuous Improvement Specialist,,
Global Quality Specialist,,
Project Manager & MS & T Specialist,,
Private Equity,,
Board Member,,
Practice Manager,,
IT Procurement Buyer,,
Tableting Inspector,,
"Project Manager, IBM",,
"Global Director, Quality Assurance",,
Supply Chain Operational Excellence Manager,,
QC Em Compliance Project Scientist and Professional,,
Editor In Chief. Cell and Gene Therapy Review. Tablets and Capsules,,
AGM-CQA,,
Administrator,,
Documentation Coordinator,,
Process Control Engineer,,
"Project Manager, Commercial",,
"Supervisor, Quality Assurance and Regulatory Compliance",,
Senior QC Compliance Analyst,,
"Manager, Service and Quality",,
Account Executive - EMEA,,
Product Operations Specialist,,
Trainer / Consultant,,
"Kategoriansvarlig InnkjÃ¸p, Information Technology",,
Gxp Digital Solutions Head,,
Document Control Analyst I,,
Head of Global QEHS,,
Packaging Intern,,
"Manager, Data",,
Outpatient Program Coordinator,,
Sustainability Manager,,
Head Pharmacist,,
Head of Cooperate Account,,
Clinical,,
"Senior Manager, Clinical Outsourcing",,
Sr. Quality Systems Specialist,,
"Manager, Customer Quality Npd",,
"Global Manager, Data Oversight",,
Business Development Lead & Principal Consultant,,
MRO Manager,,
Associate Director - Validation Excellence,,
"Senior Director, Bioanalytical Operations",,
GTM Engineer,,
AWS Engineer,,
Principal Product Development Engineer,,
Technical Services,,
"Director, Accreditation",,
"Director, Engineering and Business Development",,
Supplier Quality Assurance,,
Ampi-QA Officer,,
Vice President QMS,,
"Manager, Cleaning Validation",,
"Manager, Global Quality Systems",,
CSV Manager,,
Group Manager,,
Quality Systems Senior Analyst,,
Mops,,
Manager - D365 Applications Development,,
Senior Business Analyst - E.A. Sween Company,,
Clinical Specialist QA,,
"Csv Manager, Manufacturing Systems",,
DQM Coordinator BUG,,
Data and Intelligence Senior Associate,,
"Director, Technical Assessment",,
Senior Manager and Interim Director,,
"Director, Strategic Sourcing",,
"Senior Manager, Regulatory Intelligence and External Engagement",,
Quality Analyst II,,
ERP Bussiness Analyst,,
Head of Global GxP Quality Management Systems,,
Ekspert ZakupÃ³w G and A and G and A Procurement Expert,,
Qualifications and Projects Engineer,,
IT Cyber Security Analyst,,
Principal Document Control Specialist,,
Contract and Medical Device Technical Support Lead Auditor,,
Manager of Quality Verification,,
"Director, Corporate Quality Relations",,
QA/RA Analyst,,
"Director, Regulatory Compliance",,
Supplier Quality Senior Associate,,
"Senior Director, Strategic Engagements",,
"Manager, Packaging Development",,
Quality Principal and Auditor,,
"Strategy and Analytics Senior Manager, Data",,
"Quality Assurance Consultant, Facility Lead",,
Head Internal Clinician,,
EIT | Quality Engineer / EHS Site Lead,,
Health Care Compliance Specialist,,
Operator,,
"Technology Scouting and Integration Labs, Product R&D",,
Customer Expansion Specialist,,
Quality Development Manager,,
QC/QA Manager,,
Product and Process Manager,,
IT Teamlead SAP SD,,
Senior Client Solutions Manager,,
Lead NPI Process Development Engineer,,
Engagement Preclinical Development and Strategy Partner,,
Safety Department Manager,,
Regulatory Chief and Compliance Officer,,
Global Regulatory Specialist,,
Program Director,,
"Compliance Senior Director, Quality Assurance",,
Senior GM,,
Mechanical Engineer I,,
Analytical Lead,,
Solution Specialist,,
"Manager, Quality and Compliance",,
"Global Manager, Operations Senior Project Portfolio Office",,
Associate Director of Quality Control Operations,,
"Senior Director, Competitive and Market Intelligence, Corporate Strategy",,
"Manager, Quality Improvement",,
Position in Quality and Regulatory Lead,,
Professor Jia Hua,,
Service Excellence Action Leadership Team,,
Senior Doc Specialist,,
Corporate FSQA Compliance Director,,
"Director, Quality and Innovation",,
"Deal Alert, Qualified Sales Opportunities Vice President, Information Technology",,
"Manager, Biomaterials",,
Founder/Partner,,
Group Software Strategy Associate,,
Senior Manager Software Qualify Assurance,,
Ware House Manager,,
IT Project Lead,,
"Manager, Regulatory Affairs and Product Development",,
Senior Director Solutions Architecture,,
"Manager, Engineering, Automation and Digital Transformation",,
"Manager, Safety and Quality Assurance",,
Senior Solutions Architect,,
Chc Research Assistant,,
"Program Director, Ai",,
Biomedical Personalized Solutions Engineer,,
Quality Control Laboratory Operations Specialist I,,
Project Manager and Training Specialist,,
Service-and Messtechniker,,
"Technical Services Director, Quality Assurance",,
"Manager, Operations Support",,
Sr. Manufacturing Manager,,
Prosjektleder Digitalisering,,
Principal Configuration Management,,
Manufacturer,,
Sr Director upstream process development,,
Japan New Facility Project Team,,
Oncology Discovery,,
"Manager, Procurement For Equipment & Technology",,
Head of Product,,
"R&D HQ, Organic Materials and Polymers Lab, Researcher",,
"Prod Dev. Quality, QC Specialist",,
å¯Œå£«ãƒ•ã‚¤ãƒ«ãƒ æ ªå¼ä¼šç¤¾,,
"Manager, Operations Team",,
"Global Director, Quality Champion Ignition",,
Automation Controls Specialist,,
"Global Manager, Market Development and Digital Solutions",,
Business Development Specialist,,
Customer Operations Manager,,
Chef de Projet Information Technology,,
Health Safety and Environment Coordinator,,
Automation Engineer II,,
"Manager, MS and T Compliance",,
Senior Stem Cell Scientist,,
"Senior Manager, Procurement",,
Packaging Department Manager,,
Cleaning Validation Engineer,,
VP Regulatory Affairs & Quality Assurance,,
"Director, ERP Solutions",,
Validation Engineering-Senior Specialist,,
ãƒ—ãƒ­ã‚»ã‚¹é–‹ç™ºã‚¹ãƒšã‚·ãƒ£ãƒªã‚¹ãƒˆ,,
Operation Manager,,
"Head of Information Technology, Facilities and Infrastructure",,
Illinois,,
"Quality Analytics Senior Manager, Research and Development",,
Head of Innovation,,
Office and Document Controller,,
"Manager, Research Quality",,
"Senior Director, Science and Quality",,
General Partner,,
Digitization and Records Administrator,,
Governance and Compliance Facilitator,,
