acct primary site function,acct manufacturing model,acct target industry,contact/lead title,QAL ID,contact/lead id,next_stage__c,Priority,acct territory rollup,acct tier rollup,solution,solution_rollup,last tactic campaign channel,qal cohort date
,,Non-Life Science,,a0dPQ000003domPYAQ,003PQ00000n23ZSYAY,Recycled,P1 - Video Demo,APAC & Oceania,Medium,Qx,Qx,SEO,2025-02-24
,,Non-Life Science,,a0dPQ000003eJevYAE,003PQ00000n3EVGYA2,Recycled,P1 - Video Demo,EMEA,Medium,Qx,Qx,Online Ads,2025-02-24
Not Enough Info Found,In-House,Non-Life Science,Lead Quality Engineer,a0dPQ000003boovYAA,003PQ00000n3qIoYAI,SQL,P1 - Contact Us,Americas,Medium,Quality,Qx,SEO,2025-02-21
Non-manufacturing organization,Services / Consulting,Non-Life Science,,a0dPQ000003cFNhYAM,003PQ00000n52g6YAA,Recycled,P1 - Video Demo,Americas,Medium,Qx,Qx,Online Ads,2025-02-21
Radiopharmaceuticals,In-House,Pharma & BioTech,Site Quality Assurance Responsible,a0dPQ000003d317YAA,003PQ00000n6RMNYA2,Recycled,Priority 2,EMEA,Medium,Qx,Qx,Email,2025-02-22
Single-use disposables,CMO,Non-Life Science,,a0dPQ000003ecHlYAI,003PQ00000n6a7qYAA,Recycled,P1 - Webinar Demo,Americas,Medium,Mx,Mx,SEO,2025-02-24
Non-manufacturing organization,Services / Consulting,Non-Life Science,"Director, Innovation",a0dPQ000003cFM5YAM,003PQ00000n6iOjYAI,Recycled,P1 - Video Demo,Americas,Medium,Qx,Qx,Online Ads,2025-02-21
,,Non-Life Science,,a0dPQ000003eHOcYAM,003PQ00000n9vNpYAI,Recycled,P1 - Video Demo,EMEA,Small,Qx,Qx,SEO,2025-02-24
,,Non-Life Science,,a0dPQ000003douTYAQ,003PQ00000nDqCqYAK,Recycled,P1 - Video Demo,APAC & Oceania,Medium,Qx,Qx,Directory Listing,2025-02-24
,,Non-Life Science,,a0dPQ000003dqrRYAQ,003PQ00000nDws5YAC,Recycled,P1 - Video Demo,APAC & Oceania,Medium,Qx,Qx,Direct/Inbound,2025-02-24
,,Non-Life Science,Senior Technology Consultant,a0dPQ000003eWsIYAU,003PQ00000nEoYbYAK,Recycled,P1 - Contact Us,Americas,Small,Mx,Mx,Online Ads,2025-02-24
,,Non-Life Science,"Senior Manager, Quality",a0dPQ000003eJrpYAE,003PQ00000nFPl4YAG,Recycled,P1 - Video Demo,EMEA,Medium,Qx,Qx,Direct/Inbound,2025-02-24
,,Non-Life Science,,a0dPQ000003eeeXYAQ,003PQ00000nGAVSYA4,Recycled,P1 - Contact Us,EMEA,Medium,MISSING/BLANK,Qx,Direct/Inbound,2025-02-24
Vaccines,CMO,Pharma & BioTech,"Global Vice President, Head, Quality & Compliance",a0dPQ000003vrkDYAQ,003PQ00000nGEqpYAG,Recycled,No Priority,EMEA,Medium,Quality,Qx,Outbound Prospecting,2025-03-18
,,Non-Life Science,,a0dPQ000003ejmHYAQ,003PQ00000nGVq1YAG,Recycled,P1 - Contact Us,Americas,Small,Qx,Qx,Directory Listing,2025-02-24
Diagnostic Equipment,CMO,Medical Device,Quality Systems Engineer,a0dPQ000003gHfSYAU,003PQ00000nGplVYAS,Recycled,Priority 2,EMEA,Medium,Mx,Mx,Email,2025-02-25
,,Non-Life Science,QMS LEader,a0dPQ000003evU5YAI,003PQ00000nHA9OYAW,Recycled,P1 - Website Pricing,Americas,Medium,Qx,Qx,Email,2025-02-24
Specialty Chemical Manufacturing,In-House,Pharma & BioTech,Quality System Manager,a0dPQ0000048LY2YAM,003PQ00000nIj1IYAS,SQL,P1 - Contact Us,Americas,Small,Quality,Qx,SEO,2025-04-08
Biologic API,CDMO,Pharma & BioTech,QC Supervisor,a0dPQ00000AAFw8YAH,003PQ00000nJdeVYAS,Recycled,Priority 2,Americas,Medium,Platform,Qx,Email,2025-10-16
Animal Health,In-House,Pharma & BioTech,Senior Principal Scientist,a0dPQ000003xHntYAE,003PQ00000nJmwWYAS,Recycled,Priority 2,Americas,Medium,Qx,Qx,Email,2025-03-20
Oral solid dosage (OSD),In-House,Pharma & BioTech,Head of Microbiology,a0dPQ000003mMnhYAE,003PQ00000nJrRGYA0,Recycled,Priority 2,EMEA,Medium,Qx,Qx,Email,2025-03-03
,,Pharma & BioTech,Qs Process Engineer,a0dPQ00000EYuMHYA1,003PQ00000nJxYPYA0,,Priority 2,EMEA,Other,Qx,Qx,Email,2025-12-12
Sterile injectables,In-House,Non-Life Science,Cloud Administrator,a0dPQ000003g0LFYAY,003PQ00000nK5iUYAS,Recycled,P1 - Contact Us,EMEA,Large,Qx,Qx,Online Ads,2025-02-25
,,Pharma & BioTech,Development & CMC Head of Research,a0dPQ000003g1veYAA,003PQ00000nM98TYAS,Recycled,P1 - Webinar Demo,EMEA,Small,Mx,Mx,SEO,2025-02-25
Generics manufacturing,In-House,Pharma & BioTech,QC- Microbiology,a0dPQ000003heAAYAY,003PQ00000nNATtYAO,Recycled,Priority 2,APAC & Oceania,Medium,Qx,Qx,External Demand Gen,2025-02-26
,,Pharma & BioTech,,a0dPQ000003gRoTYAU,003PQ00000nNI9hYAG,Recycled,P1 - Contact Us,Americas,Small,Qx,Qx,Online Ads,2025-02-25
Surgical instruments,In-House,Medical Device,Paralegal,a0dPQ000004AbYfYAK,003PQ00000nNdIYYA0,Recycled,Priority 2,Americas,Medium,Qx,Qx,Email,2025-04-11
In-vitro diagnostic (IVD) kits,In-House,Medical Device,Global Product Planner,a0dPQ000004VuJmYAK,003PQ00000nNpP1YAK,Recycled,Priority 2,Americas,Large,Qx,Qx,Outbound Prospecting,2025-05-15
Non-manufacturing organization,CRO,Pharma & BioTech,Clinical Specialist,a0dPQ000003gn5pYAA,003PQ00000nNpP5YAK,Recycled,Priority 2,Americas,Medium,Mx,Mx,External Demand Gen,2025-02-25
In-vitro diagnostic (IVD) kits,In-House,Medical Device,RA Specialist,a0dPQ000003lSqLYAU,003PQ00000nNpPGYA0,,No Priority,Americas,Medium,Mx,Mx,Outbound Prospecting,2025-02-28
,,Non-Life Science,QA & EHS manager,a0dPQ000003jUbJYAU,003PQ00000nNquuYAC,Recycled,Priority 2,EMEA,Medium,Mx,Mx,Email,2025-02-27
,,Medical Device,Chief Financial Officer,a0dPQ000003ieMbYAI,003PQ00000nNrFlYAK,Recycled,Priority 2,Americas,Small,Mx,Mx,External Demand Gen,2025-02-26
Imaging systems,In-House,Medical Device,Director Academic Alliances,a0dPQ000003gfWTYAY,003PQ00000nNrFsYAK,Recycled,Priority 2,Americas,Medium,Mx,Mx,External Demand Gen,2025-02-25
Not Enough Info Found,In-House,Non-Life Science,"Manager, Field Document Control",a0dPQ000003giFqYAI,003PQ00000nOxifYAC,Recycled,P1 - Video Demo,Americas,Large,Qx,Qx,Online Ads,2025-02-25
Food and beverage,CMO,Non-Life Science,"Supervisor, Quality Assurance",a0dPQ000003hB89YAE,003PQ00000nP8vrYAC,SQL,P1 - Contact Us,Americas,Medium,MISSING/BLANK,Qx,Direct/Inbound,2025-02-25
,,Pharma & BioTech,CEO,a0dPQ000003hB05YAE,003PQ00000nPLzWYAW,Recycled,Priority 2,Americas,Small,Qx,Qx,Online Ads,2025-02-25
,,Pharma & BioTech,,a0dPQ000003hiQhYAI,003PQ00000nPM9DYAW,Recycled,Priority 2,EMEA,Small,Mx,Mx,SEO,2025-02-26
Not Enough Info Found,Consumer Packaged Goods,Pharma & BioTech,,a0dPQ000003iuCrYAI,003PQ00000nQhS1YAK,Recycled,Priority 2,Americas,Small,Qx,Qx,Online Ads,2025-02-26
mRNA / LNP therapeutics,CDMO,Pharma & BioTech,Senior Manager Mrna Manufacturing,a0dPQ000003nd1hYAA,003PQ00000nQjlLYAS,SQL,Priority 2,Americas,Small,Logbooks,Mx,Email,2025-03-04
Generics manufacturing,CDMO,Pharma & BioTech,"Director, Information Technology",a0dPQ000003hmUHYAY,003PQ00000nSFPUYA4,Recycled,Priority 2,EMEA,Small,Qx,Qx,External Demand Gen,2025-02-26
Generics manufacturing,CDMO,Pharma & BioTech,"Director, Information Technology",a0dPQ00000AFLUgYAP,003PQ00000nSFPUYA4,Recycled,Priority 2,EMEA,Small,Mx,Mx,Email,2025-10-17
,,Non-Life Science,,a0dPQ000003hv1KYAQ,003PQ00000nTED3YAO,Recycled,P1 - Video Demo,EMEA,Small,Qx,Qx,SEO,2025-02-26
Cosmetics manufacturing,Consumer Packaged Goods,Pharma & BioTech,Senior Chemist,a0dPQ000003iGk5YAE,003PQ00000nTnHFYA0,SQL,P1 - Webinar Demo,EMEA,Medium,Mx,Mx,Online Ads,2025-02-26
,,Medical Device,,a0dPQ000003iMmHYAU,003PQ00000nTrmIYAS,Recycled,P1 - Webinar Demo,Americas,Medium,Mx,Mx,SEO,2025-02-26
Diagnostic Equipment,In-House,Medical Device,"Vice President, Operations and Supply Chain",a0dPQ000004qcTVYAY,003PQ00000nU1DmYAK,Recycled,Priority 2,Americas,Large,Mx,Mx,External Demand Gen,2025-05-28
,,Pharma & BioTech,Director of Quality Assurance and Regulatory Compliance,a0dPQ00000A7uqxYAB,003PQ00000nUdMHYA0,Recycled,Priority 2,Americas,Small,Qx,Qx,Email,2025-10-15
Not Enough Info Found,In-House,Non-Life Science,Quality Engineer II,a0dPQ000003iYvVYAU,003PQ00000nUszeYAC,Recycled,P1 - Contact Us,Americas,Medium,Qx,Qx,Directory Listing,2025-02-26
Dental instruments,In-House,Medical Device,Senior Quality Engineer,a0dPQ000003iuBFYAY,003PQ00000nVj9WYAS,Recycled,Priority 2,Americas,Medium,Qx,Qx,SEO,2025-02-26
,,Non-Life Science,,a0dPQ000003izsVYAQ,003PQ00000nWWYQYA4,Recycled,No Priority,Americas,Medium,Qx,Qx,Directory Listing,2025-02-27
Vaccines,In-House,Blood & Biologics,Senior Manager QA,a0dPQ000003kWmLYAU,003PQ00000nYwynYAC,Recycled,Priority 2,APAC & Oceania,Medium,Mx,Mx,Email,2025-02-27
,,Medical Device,Senior Consultant,a0dPQ000003jvRpYAI,003PQ00000nZqqkYAC,Recycled,P1 - Contact Us,EMEA,Small,Post-Market,Qx,Direct/Inbound,2025-02-27
Non-manufacturing organization,Distribution / Wholesale,Pharma & BioTech,graduate intern project,a0dPQ000003jjIcYAI,003PQ00000nZsMHYA0,SQL,P1 - Website Pricing,EMEA,Small,Manufacturing,Mx,Email,2025-02-27
Animal Health,CMO,Pharma & BioTech,,a0dPQ000003k2wLYAQ,003PQ00000naWA0YAM,Recycled,P1 - Webinar Demo,Americas,Medium,Mx,Mx,SEO,2025-02-27
,,Non-Life Science,Analyste Financier,a0dPQ000003k14EYAQ,003PQ00000naY8dYAE,Recycled,P1 - Video Demo,Americas,Small,Qx,Qx,Online Ads,2025-02-27
,,Pharma & BioTech,Coordonnatrice Adjointe De Projets -Affaires Réglementaires,a0dPQ000003lSyPYAU,003PQ00000nbb9MYAQ,Recycled,P1 - Video Demo,Americas,Medium,Qx,Qx,Online Ads,2025-02-28
Lasers,In-House,Medical Device,,a0dPQ000003kMevYAE,003PQ00000nc2KlYAI,SQL,P1 - Contact Us,Americas,Medium,Qx,Qx,Directory Listing,2025-02-27
Diagnostic Equipment,In-House,Medical Device,Co-Founder,a0dPQ000003kD0XYAU,003PQ00000nc4kjYAA,SQL,P1 - Contact Us,Americas,Small,Qx,Qx,Online Ads,2025-02-27
,,Non-Life Science,,a0dPQ000003kWrBYAU,003PQ00000ncJtRYAU,Exclude,P1 - Contact Us,APAC & Oceania,Small,MISSING/BLANK,Qx,Direct/Inbound,2025-02-27
Combination products,Original Equipment Manufacturing,Pharma & BioTech,"Internationaler Qualitätskoordinator, Leiter QM-System und Leiter Reklamationsmanagement",a0dPQ000003kl73YAA,003PQ00000nfPsoYAE,Recycled,Priority 2,EMEA,Large,Qx,Qx,Directory Listing,2025-02-28
,,Pharma & BioTech,Sales & Business Development Representative,a0dPQ000003korJYAQ,003PQ00000nfsY6YAI,Recycled,P1 - Contact Us,EMEA,Small,Regulatory,Qx,SEO,2025-02-28
,,Non-Life Science,"Director, Operations",a0dPQ000003l4KzYAI,003PQ00000ngHOPYA2,Recycled,P1 - Video Demo,Americas,Medium,Qx,Qx,Directory Listing,2025-02-28
,,Non-Life Science,,a0dPQ000003lIB3YAM,003PQ00000ngoFVYAY,Recycled,P1 - Video Demo,Americas,Large,Qx,Qx,Online Ads,2025-02-28
,,Non-Life Science,,a0dPQ000003lKw1YAE,003PQ00000niSxHYAU,Recycled,P1 - Video Demo,Americas,Small,Qx,Qx,Direct/Inbound,2025-02-28
Not Enough Info Found,In-House,Medical Device,Quality Manager,a0dPQ000003lTRRYA2,003PQ00000nig7NYAQ,SQL,P1 - Video Demo,Americas,Small,Qx,Qx,Online Ads,2025-02-28
In-vitro diagnostic (IVD) kits,In-House,Medical Device,Sr. Quality Engineer,a0dPQ000003lOraYAE,003PQ00000njaeKYAQ,SQL,Priority 2,Americas,Medium,Quality,Qx,SEO,2025-02-28
Wearable health monitors,In-House,Medical Device,Chief Revenue Officer,a0dPQ000003mDCXYA2,003PQ00000nlXCPYA2,SQL,P1 - Contact Us,EMEA,Medium,Qx,Qx,Online Ads,2025-03-03
Cosmetics manufacturing,In-House,Pharma & BioTech,Engineering,a0dPQ000003obInYAI,003PQ00000nmF15YAE,SQL,P1 - Video Demo,APAC & Oceania,Medium,Qx,Qx,SEO,2025-03-06
,,Non-Life Science,,a0dPQ000003mDfZYAU,003PQ00000nonkeYAA,Recycled,P1 - Video Demo,,Small,Qx,Qx,Email,2025-03-03
,,Non-Life Science,,a0dPQ000003mJjNYAU,003PQ00000np2YFYAY,Recycled,P1 - Video Demo,Americas,Small,Qx,Qx,Online Ads,2025-03-03
Not Enough Info Found,Outsources Manufacturing,Medical Device,President of the Company,a0dPQ000003mPiMYAU,003PQ00000nuyyAYAQ,Recycled,P1 - Contact Us,Americas,Small,Quality,Qx,Direct/Inbound,2025-03-03
Not Enough Info Found,Outsources Manufacturing,Medical Device,President of the Company,a0dPQ000007rIM9YAM,003PQ00000nuyyAYAQ,SQL,P1 - Video Demo,Americas,Small,Qx,Qx,Email,2025-08-19
,,Non-Life Science,,a0dPQ000003mjHHYAY,003PQ00000nwN1pYAE,Recycled,Priority 2,Americas,Small,Logbooks,Mx,Online Ads,2025-03-03
Small-molecule API,CDMO,Pharma & BioTech,Manager Operations,a0dPQ0000045DAPYA2,003PQ00000nwNJPYA2,Recycled,Priority 2,EMEA,Medium,Logbooks,Mx,Email,2025-04-03
Small-molecule API,CDMO,Pharma & BioTech,Manager Operations,a0dPQ000004RrcDYAS,003PQ00000nwNJPYA2,SQL,Priority 2,EMEA,Medium,Qx,Qx,SEO,2025-05-09
Implantable devices,In-House,Medical Device,,a0dPQ000003mfAPYAY,003PQ00000nwO2qYAE,SQL,P1 - Contact Us,Americas,Small,Qx,Qx,Online Ads,2025-03-03
,,Non-Life Science,,a0dPQ000003mkDJYAY,003PQ00000nwsbhYAA,Recycled,Priority 2,Americas,Medium,Qx,Qx,Online Ads,2025-03-03
Not Enough Info Found,In-House,Non-Life Science,,a0dPQ000003nK8jYAE,003PQ00000o16HuYAI,SQL,P1 - Website Pricing,EMEA,Medium,Qx,Qx,Online Ads,2025-03-04
Drug discovery & development,Not Enough Info Found,Pharma & BioTech,"Manager, Biopharm Research & Development Engineering",a0dPQ000003o2HpYAI,003PQ00000o26kgYAA,SQO,Priority 2,Americas,Large,Mx,Mx,External Demand Gen,2025-03-05
Oral solid dosage (OSD),CDMO,Pharma & BioTech,Senior QA Representative,a0dPQ000003nPjVYAU,003PQ00000o2DxHYAU,Recycled,Priority 2,Americas,Large,Qx,Qx,SEO,2025-03-04
Radiopharmaceuticals,In-House,Pharma & BioTech,,a0dPQ000003nuaPYAQ,003PQ00000o2EOgYAM,Recycled,Priority 2,EMEA,Medium,Mx,Mx,External Demand Gen,2025-03-05
,,Non-Life Science,,a0dPQ000003nVNVYA2,003PQ00000o3DVRYA2,Recycled,P1 - Video Demo,Americas,Small,Qx,Qx,Directory Listing,2025-03-04
Non-manufacturing organization,Testing Laboratory,Pharma & BioTech,,a0dPQ000003nZxOYAU,003PQ00000o3X16YAE,SQL,P1 - Contact Us,Americas,Small,Qx,Qx,Online Ads,2025-03-04
,,Non-Life Science,"Director, Sales Climb Elevate",a0dPQ000003ndsvYAA,003PQ00000o4YKxYAM,Recycled,P1 - Contact Us,Americas,Medium,Clinical,Qx,SEO,2025-03-04
,,Non-Life Science,Chief of Staff,a0dPQ000003ngPNYAY,003PQ00000o4i14YAA,Recycled,P1 - Contact Us,Americas,Medium,Qx,Qx,Online Ads,2025-03-04
,,Non-Life Science,Principal Consultant,a0dPQ000003nufFYAQ,003PQ00000o56ZRYAY,Recycled,Priority 2,Americas,Medium,Mx,Mx,External Demand Gen,2025-03-05
Non-manufacturing organization,Services / Consulting,Pharma & BioTech,"Strategy & Management Consulting, Life Science Advisory Senior Associate",a0dPQ000003nj0fYAA,003PQ00000o5BZ7YAM,Recycled,P1 - Video Demo,Americas,Large,Qx,Qx,SEO,2025-03-04
Non-manufacturing organization,Research Institute,Non-Life Science,,a0dPQ000004tf6fYAA,003PQ00000o6YNBYA2,,P1 - Contact Us,Japan,Medium,MISSING/BLANK,Qx,Direct/Inbound,2025-05-30
Lab Instruments,In-House,Non-Life Science,研究員 プラントエンジニアリング部門長 兼 製造部門長  薬剤師,a0dPQ00000D7oaAYAR,003PQ00000o6caUYAQ,SQO,No Priority,Japan,Medium,Qx,Qx,Direct/Inbound,2025-03-03
,,Non-Life Science,,a0dPQ000003oFi6YAE,003PQ00000o6izFYAQ,Exclude,P1 - Video Demo,,Small,Qx,Qx,SEO,2025-03-05
Non-manufacturing organization,Services / Consulting,Pharma & BioTech,,a0dPQ000003o15dYAA,003PQ00000o70hnYAA,Recycled,P1 - Website Pricing,Americas,Medium,Platform,Qx,Direct/Inbound,2025-03-05
,,Pharma & BioTech,,a0dPQ000003o1SDYAY,003PQ00000o7D0XYAU,Recycled,P1 - Video Demo,,Medium,Mx,Mx,SEO,2025-03-05
,,Pharma & BioTech,"Senior Manager, Business & Project Development Life Sciences",a0dPQ000003nuVZYAY,003PQ00000o7G3FYAU,Recycled,Priority 2,EMEA,Medium,Mx,Mx,External Demand Gen,2025-03-05
Diagnostic Equipment,In-House,Medical Device,,a0dPQ000003o3QnYAI,003PQ00000o83YbYAI,SQL,P1 - Website Pricing,EMEA,Small,Qx,Qx,Directory Listing,2025-03-05
Oligonucleotide synthesis (ASO/siRNA),In-House,Pharma & BioTech,"Senior Manager, Clinical Quality Assurance",a0dPQ000004K8ITYA0,003PQ00000oA5ZWYA0,Recycled,P1 - Webinar Demo,Americas,Medium,Logbooks,Mx,External Demand Gen,2025-04-28
Sterile injectables,In-House,Medical Device,Director of IT Cyber Security Manufacturing,a0dPQ000004yQ3mYAE,003PQ00000oA6wzYAC,Recycled,Priority 2,Americas,Large,Mx,Mx,External Demand Gen,2025-06-02
,,Non-Life Science,,a0dPQ000003ohb7YAA,003PQ00000oBj6jYAC,Recycled,P1 - Video Demo,,Small,Quality,Qx,Direct/Inbound,2025-03-06
Biosimilars,Not Enough Info Found,Pharma & BioTech,,a0dPQ000003sb7JYAQ,003PQ00000oCmXJYA0,Recycled,P1 - Live Demo,APAC & Oceania,Other,Mx,Mx,Events,2025-03-12
Vaccines,In-House,Pharma & BioTech,,a0dPQ000003saj7YAA,003PQ00000oCyOcYAK,Recycled,P1 - Live Demo,APAC & Oceania,Medium,Mx,Mx,Events,2025-03-12
,,Unknown,Senior Quality Assurance Officer,a0dPQ000004fcwfYAA,003PQ00000oDCHtYAO,Exclude,P1 - Live Demo,,Other,Ax,Qx,MISSING/BLANK,2025-05-22
Not Enough Info Found,Not Enough Info Found,Pharma & BioTech,Vertical Head- Life Sciences,a0dPQ000003og7BYAQ,003PQ00000oDH6HYAW,Recycled,P1 - Webinar Demo,Americas,Large,Mx,Mx,Direct/Inbound,2025-03-06
,,Non-Life Science,Projectmanager,a0dPQ000003ojxtYAA,003PQ00000oDn0aYAC,Recycled,P1 - Video Demo,EMEA,Small,Qx,Qx,SEO,2025-03-06
Specialty Chemical Manufacturing,In-House,Pharma & BioTech,Quality Improvement Manager,a0dPQ000003oiP8YAI,003PQ00000oDxC6YAK,Recycled,Priority 2,EMEA,Medium,Qx,Qx,Online Ads,2025-03-06
,,Non-Life Science,,a0dPQ000003ojeXYAQ,003PQ00000oDyQ0YAK,Recycled,P1 - Video Demo,EMEA,Small,Qx,Qx,Online Ads,2025-03-06
,,Non-Life Science,"Manager, Fabrication Production",a0dPQ000003ojwHYAQ,003PQ00000oE5uIYAS,Recycled,P1 - Video Demo,EMEA,Small,Qx,Qx,Online Ads,2025-03-06
Implantable devices,In-House,Medical Device,"Project Manager, Operations",a0dPQ000003pgQ5YAI,003PQ00000oED2DYAW,Recycled,Priority 2,EMEA,Medium,Qx,Qx,SEO,2025-03-07
Nutraceutical manufacturing,CMO,Pharma & BioTech,,a0dPQ0000041OXRYA2,003PQ00000oEfRVYA0,Recycled,Priority 2,Americas,Medium,Mx,Mx,Email,2025-03-27
Nutraceutical manufacturing,CMO,Pharma & BioTech,,a0dPQ0000045fLBYAY,003PQ00000oEfRVYA0,Recycled,P1 - Webinar Demo,Americas,Medium,Logbooks,Mx,Email,2025-04-03
Nutraceutical manufacturing,CMO,Pharma & BioTech,,a0dPQ00000572rqYAA,003PQ00000oEfRVYA0,Recycled,Priority 2,Americas,Medium,Qx,Qx,Email,2025-06-05
Specialty Chemical Manufacturing,In-House,Pharma & BioTech,Director of Quality,a0dPQ000003ovHVYAY,003PQ00000oEpttYAC,SQL,P1 - Website Pricing,Americas,Small,Platform,Qx,SEO,2025-03-06
,,Non-Life Science,,a0dPQ000003ozplYAA,003PQ00000oFYB4YAO,Recycled,Priority 2,Americas,Medium,Quality,Qx,SEO,2025-03-06
,,Non-Life Science,Quality Assurance Specialist,a0dPQ000003p2Z7YAI,003PQ00000oFcONYA0,Recycled,P1 - Video Demo,Americas,Medium,Qx,Qx,Directory Listing,2025-03-06
,,Non-Life Science,,a0dPQ000003p81pYAA,003PQ00000oGqlrYAC,Recycled,P1 - Video Demo,Americas,Medium,Qx,Qx,Directory Listing,2025-03-06
,,Non-Life Science,,a0dPQ000003p8bJYAQ,003PQ00000oGrYMYA0,Recycled,Priority 2,,Small,Mx,Mx,SEO,2025-03-06
Not Enough Info Found,Original Equipment Manufacturing,Medical Device,"Director, Quality",a0dPQ000003pAlBYAU,003PQ00000oGwhfYAC,SQL,P1 - Video Demo,Americas,Medium,Qx,Qx,SEO,2025-03-06
Combination products,In-House,Pharma & BioTech,Chief Operating Officer,a0dPQ000003pGiXYAU,003PQ00000oIBp0YAG,SQL,P1 - Website Pricing,Americas,Small,Manufacturing,Mx,Email,2025-03-06
Implantable devices,In-House,Medical Device,,a0dPQ000003pLdNYAU,003PQ00000oIqkwYAC,SQL,P1 - Contact Us,APAC & Oceania,Medium,Quality,Qx,SEO,2025-03-07
Diagnostic Equipment,In-House,Medical Device,,a0dPQ000003rH2bYAE,003PQ00000oJwYtYAK,SQL,P1 - Contact Us,Americas,Small,Quality,Qx,Email,2025-03-11
,,Non-Life Science,Administrative Specialist II,a0dPQ000003pgWXYAY,003PQ00000oL9U4YAK,Recycled,P1 - Video Demo,Americas,Medium,Qx,Qx,Online Ads,2025-03-07
,,Non-Life Science,"Manager, Quality",a0dPQ000003pr2AYAQ,003PQ00000oOGGXYA4,Recycled,P1 - Video Demo,Americas,Medium,Qx,Qx,Online Ads,2025-03-07
Not Enough Info Found,Original Equipment Manufacturing,Non-Life Science,"Manufacturing Leader & Manager, Iso Quality",a0dPQ000003prQLYAY,003PQ00000oOSuPYAW,Recycled,P1 - Website Pricing,Americas,Small,Quality,Qx,SEO,2025-03-07
Not Enough Info Found,Original Equipment Manufacturing,Non-Life Science,"Manufacturing Leader & Manager, Iso Quality",a0dPQ00000AObn3YAD,003PQ00000oOSuPYAW,Recycled,P1 - Website Pricing,Americas,Small,Qx,Qx,Online Ads,2025-10-20
In-vitro diagnostic (IVD) kits,In-House,Pharma & BioTech,Head of Manufacturing,a0dPQ000005dHkTYAU,003PQ00000oPZqeYAG,Recycled,Priority 2,EMEA,Medium,Qx,Qx,External Demand Gen,2025-06-18
Oral solid dosage (OSD),In-House,Pharma & BioTech,,a0dPQ000003r57tYAA,003PQ00000oSbELYA0,Recycled,P1 - Video Demo,Americas,Large,Qx,Qx,Online Ads,2025-03-10
,,Medical Device,,a0dPQ000003qt8LYAQ,003PQ00000oUi6tYAC,Exclude,P1 - Contact Us,,Small,Manufacturing,Mx,SEO,2025-03-10
"Cell therapies (CAR-T, NK)",In-House,Pharma & BioTech,Specialist,a0dPQ000003sb2TYAQ,003PQ00000oUjUMYA0,,P1 - Live Demo,APAC & Oceania,Medium,Mx,Mx,Events,2025-03-12
,,Non-Life Science,,a0dPQ000003wmAcYAI,003PQ00000oVvGjYAK,,Other,Americas,Large,Ax,Qx,SEO,2025-03-19
,,Non-Life Science,,a0dPQ000003r8SLYAY,003PQ00000oW9PyYAK,Recycled,P1 - Video Demo,Americas,Medium,Qx,Qx,SEO,2025-03-10
,,Non-Life Science,担当,a0dPQ000004teybYAA,003PQ00000oX1dWYAS,,P1 - Contact Us,Japan,Large,MISSING/BLANK,Qx,Direct/Inbound,2025-08-01
Non-manufacturing organization,Distribution / Wholesale,Non-Life Science,,a0dPQ000004tevNYAQ,003PQ00000oX2MdYAK,,P1 - Contact Us,Japan,Medium,MISSING/BLANK,Qx,Direct/Inbound,2025-05-30
Wearable health monitors,CDMO,Medical Device,,a0dPQ000003rSxJYAU,003PQ00000oXTXvYAO,SQL,P1 - Website Pricing,EMEA,Small,Manufacturing,Mx,SEO,2025-03-11
,,Non-Life Science,Intergrated Systems Service Tech,a0dPQ000003r3PRYAY,003PQ00000oXeUvYAK,Recycled,P1 - Contact Us,Americas,Medium,Qx,Qx,Online Ads,2025-03-10
,,Non-Life Science,"Manager, Operations Benelux",a0dPQ000003qhWzYAI,003PQ00000oY1WMYA0,Recycled,P1 - Webinar Demo,EMEA,Medium,Mx,Mx,Online Ads,2025-03-10
,,Unknown,Owner and President,a0dPQ000003r26nYAA,003PQ00000oYGqPYAW,Recycled,P1 - Website Pricing,Americas,Small,MISSING/BLANK,Qx,SEO,2025-03-10
Non-manufacturing organization,In-House,Medical Device,"Senior Project Manager, Portfolio Global Capital Project Management",a0dPQ000003qrbCYAQ,003PQ00000oYdjiYAC,Recycled,Priority 2,Americas,Medium,Mx,Mx,Online Ads,2025-03-10
Not Enough Info Found,Original Equipment Manufacturing,Non-Life Science,IT Production Project Leader,a0dPQ000003r4YPYAY,003PQ00000oZpG1YAK,Recycled,P1 - Video Demo,Americas,Medium,Qx,Qx,Direct/Inbound,2025-03-10
Not Enough Info Found,Original Equipment Manufacturing,Non-Life Science,IT Production Project Leader,a0dPQ000008u3gAYAQ,003PQ00000oZpG1YAK,SQL,P1 - Contact Us,Americas,Medium,Qx,Qx,Direct/Inbound,2025-09-17
Non-manufacturing organization,Software / Technology Development,Non-Life Science,Thanks for sharing over the information,a0dPQ000003r533YAA,003PQ00000oaHJVYA2,SQL,P1 - Contact Us,Americas,Small,Qx,Qx,Online Ads,2025-03-10
,,Non-Life Science,Test & Assembly Engineer,a0dPQ000003rAPJYA2,003PQ00000obH5AYAU,Recycled,P1 - Video Demo,Americas,Small,Qx,Qx,SEO,2025-03-10
Implantable devices,CDMO,Medical Device,IT Manager,a0dPQ000003taE1YAI,003PQ00000ocDpGYAU,Recycled,P1 - Contact Us,Americas,Medium,Manufacturing,Mx,SEO,2025-03-14
